image_id,category_id,keypointsNosex,keypointsNosey,keypointsNoseScore,keypointsLEyex,keypointsLEyey,keypointsLEyeScore,keypointsREyex,keypointsREyey,keypointsREyeScore,keypointsLEarx,keypointsLEary,keypointsLEarScore,keypointsREarx,keypointsREary,keypointsREarScore,keypointsLShoulderx,keypointsLShouldery,keypointsLShoulderScore,keypointsRShoulderx,keypointsRShouldery,keypointsRShoulderScore,keypointsLElbowx,keypointsLElbowy,keypointsLElbowScore,keypointsRElbowx,keypointsRElbowy,keypointsRElbowScore,keypointsLWristx,keypointsLWristy,keypointsLWristScore,keypointsRWristx,keypointsRWristy,keypointsRWristScore,keypointsLHipx,keypointsLHipy,keypointsLHipScore,keypointsRHipx,keypointsRHipy,keypointsRHipScore,keypointsLKneex,keypointsLKneey,keypointsLKneeScore,keypointsRKneex,keypointsRKneey,keypointsRKneeScore,keypointsLAnklex,keypointsLAnkley,keypointsLAnkleScore,keypointsRAnklex,keypointsRAnkley,keypointsRAnkleScore,keypointsheadx,keypointsheady,keypointsheadScore,keypointsneckx,keypointsnecky,keypointsneckScore,keypointsMHipx,keypointsMHipy,keypointsMHipScore,keypointsfoot1x,keypointsfoot1y,keypointsfoot1Score,keypointsfoot2x,keypointsfoot2y,keypointsfoot2Score,keypointsfoot3x,keypointsfoot3y,keypointsfoot3Score,keypointsfoot4x,keypointsfoot4y,keypointsfoot4Score,keypointsfoot5x,keypointsfoot5y,keypointsfoot5Score,keypointsfoot6x,keypointsfoot6y,keypointsfoot6Score,score,idx,class
1,1,144.8315887451172,102.7096710205078,0.8568400144577021,143.36105346679688,98.2980499267578,0.614709794521331,143.36105346679688,99.76858520507812,0.8999311327934261,125.71456146240234,99.76858520507812,0.8642894029617311,140.41996765136722,99.76858520507812,0.9054511189460752,119.8323974609375,118.8856201171875,0.952621400356292,146.30213928222656,118.8856201171875,0.929776847362518,118.36185455322266,139.47319030761722,0.9376026391983032,153.65484619140625,142.41427612304688,0.919141054153442,118.36185455322266,158.59022521972656,0.9231925010681152,162.47808837890625,157.11968994140625,0.9102970361709591,127.1851043701172,161.53131103515625,0.8519464135169981,143.36105346679688,161.53131103515625,0.847872138023376,133.0672607421875,190.9421234130859,0.8786383867263791,146.30213928222656,192.4126739501953,0.9143369197845452,136.00834655761722,223.2940368652344,0.7376464605331421,133.0672607421875,226.235107421875,0.8877795338630671,136.00834655761722,88.00425720214844,0.9891120195388792,134.53781127929688,108.59183502197266,0.8972032666206361,136.00834655761722,160.06077575683594,0.965718388557434,141.89051818847656,232.1172790527344,0.6491701006889341,134.53781127929688,237.9994354248047,0.7022098302841181,140.41996765136722,233.5878143310547,0.600122332572937,136.00834655761722,237.9994354248047,0.8041355013847351,133.0672607421875,227.7056579589844,0.532176911830902,127.1851043701172,229.1761932373047,0.866532206535339,3.072081089019775,0.0,0
2,1,147.68055725097656,100.84957122802734,0.8627103567123411,147.68055725097656,96.9145050048828,0.5969735980033871,146.36886596679688,98.22618865966795,0.8764159679412841,130.62860107421878,96.9145050048828,0.8474897146224971,145.0571746826172,96.9145050048828,0.8602840900421139,125.38184356689452,115.27815246582031,0.95739471912384,150.30393981933594,115.27815246582031,0.9095184803009032,122.75846862792969,133.64179992675778,0.8724952936172481,155.55068969726562,137.57685852050778,0.8959193825721741,124.07015228271484,149.38206481933594,0.877381920814514,162.109130859375,154.62881469726562,0.8849768042564391,130.62860107421878,155.9405059814453,0.8276650309562681,146.36886596679688,155.9405059814453,0.8924869298934931,134.56365966796878,183.48597717285156,0.8985709547996521,155.55068969726562,180.86260986328125,0.8504061698913571,135.87535095214844,212.3431396484375,0.7231144905090331,142.43380737304688,209.71975708007812,0.9135406613349912,139.8104248046875,85.10929870605469,0.9400855898857112,138.49873352050778,104.78463745117188,0.895345985889434,138.49873352050778,154.62881469726562,0.9701696634292599,148.99224853515625,220.21327209472656,0.6941642761230461,150.30393981933594,220.21327209472656,0.8776853084564201,147.68055725097656,220.21327209472656,0.6303688883781431,148.99224853515625,220.21327209472656,0.9565636515617372,134.56365966796878,218.90158081054688,0.6946852207183829,137.18704223632812,213.6548309326172,0.8566984534263611,3.057241678237915,0.0,0
3,1,192.03025817871097,90.80840301513672,0.9083521962165829,192.03025817871097,87.49492645263672,0.955011010169982,189.82125854492188,87.49492645263672,0.9049813151359549,192.03025817871097,88.59941864013672,0.5209522843360901,182.08981323242188,88.59941864013672,0.908192098140716,189.82125854492188,101.85334014892578,0.8409492969512941,179.88082885742188,102.95783233642578,0.899504780769348,190.92576599121097,120.62973022460938,0.8341388106346129,178.77633666992188,122.83871459960938,0.8744710683822631,197.55271911621097,131.67466735839844,0.8504619598388671,184.29879760742188,141.61509704589844,0.8568046689033499,190.92576599121097,137.19712829589844,0.8448352813720701,183.19430541992188,137.19712829589844,0.8361437916755671,189.82125854492188,160.39149475097656,0.86496502161026,182.08981323242188,163.70497131347656,0.8627818822860711,183.19430541992188,176.95889282226562,0.9505285620689392,169.9403839111328,184.6903533935547,0.8659531474113461,187.61227416992188,77.55448150634766,0.943762183189392,184.29879760742188,96.33087158203124,0.934779107570648,187.61227416992188,136.09263610839844,0.906784892082214,192.03025817871097,182.4813690185547,0.8530360460281371,178.77633666992188,192.4217987060547,0.8918575644493101,192.03025817871097,181.3768615722656,0.9245880246162412,175.4628448486328,193.5262908935547,0.8719155192375181,182.08981323242188,180.2723693847656,0.8622074723243711,165.5224151611328,186.8993377685547,0.864001989364624,2.830919027328491,0.0,0
4,1,193.94927978515625,90.54165649414062,0.947196900844574,195.11260986328125,88.21497344970703,0.9546514749526972,190.4592437744141,88.21497344970703,0.954519689083099,196.2759552001953,88.21497344970703,0.7915538549423211,184.6425323486328,88.21497344970703,0.9219839572906492,196.2759552001953,101.01173400878906,0.891098856925964,179.98916625976562,103.33841705322266,0.8895512819290161,199.7659912109375,118.4618682861328,0.811384081840515,177.6624755859375,123.115234375,0.905867338180542,206.74603271484375,130.09529113769528,0.9107119441032412,179.98916625976562,139.40202331542972,0.873833954334259,193.94927978515625,137.07534790039062,0.8656531572341911,184.6425323486328,138.23867797851562,0.9113085269927972,190.4592437744141,161.50552368164062,0.8309116363525391,184.6425323486328,162.6688690185547,0.9140799641609192,183.47918701171875,177.7923126220703,0.7644183039665221,173.0091094970703,183.60902404785156,0.9041067957878112,190.4592437744141,78.90823364257812,0.9442508816719052,188.132568359375,97.5217056274414,0.8911541104316708,189.2958984375,135.91200256347656,0.9179174900054928,191.62258911132812,183.60902404785156,0.744494795799255,179.98916625976562,192.915771484375,0.9362882971763612,191.62258911132812,181.2823486328125,0.8057618141174311,175.33580017089844,192.915771484375,0.8994982242584221,182.31585693359375,180.11900329589844,0.7009334564208981,169.5190887451172,184.7723693847656,0.8786959052085871,3.03755521774292,0.0,0
5,1,195.12939453125,90.75535583496094,0.947749495506286,196.29161071777344,87.26873016357422,0.9685667157173152,191.6427764892578,88.43093872070312,0.9578121900558472,198.61602783203125,88.43093872070312,0.8931468129158021,185.83172607421875,88.43093872070312,0.8966414332389828,200.9404296875,102.37743377685548,0.9096441268920892,180.02069091796875,103.53964233398438,0.927744328975677,205.5892639160156,117.48613739013672,0.8897131085395811,175.37185668945312,122.13497161865234,0.8961777687072751,207.91368103027344,132.59483337402344,0.9367312192916872,176.53407287597656,138.4058837890625,0.8965055346488949,195.12939453125,137.24366760253906,0.8674423694610591,184.6695251464844,137.24366760253906,0.853641927242279,190.4805603027344,161.65003967285156,0.8277101516723631,184.6695251464844,162.81224060058594,0.8915262222290029,184.6695251464844,179.08316040039062,0.8006903529167171,178.85848999023438,182.5697784423828,0.8809760808944701,192.8049774169922,77.9710693359375,0.965812683105468,191.6427764892578,97.72859954833984,0.9159138202667232,189.318359375,136.08146667480472,0.952146470546722,190.4805603027344,184.89419555664062,0.8120348453521721,182.34510803222656,191.8674468994141,0.925555944442749,191.6427764892578,181.40757751464844,0.7753571867942809,177.69627380371094,190.70523071289062,0.921157240867614,183.50732421875,180.245361328125,0.7232057452201841,176.53407287597656,182.5697784423828,0.8697279095649709,3.07881760597229,0.0,0
6,1,195.21759033203125,90.64458465576172,0.934339344501495,197.57254028320312,87.11214447021484,0.950507819652557,191.6851501464844,87.11214447021484,0.9581127166748041,199.9275054931641,88.28962707519531,0.937546491622924,188.1527099609375,89.46710205078125,0.90858644247055,203.45994567871097,103.59687042236328,0.8938485980033871,181.0878143310547,103.59687042236328,0.9262069463729852,205.81491088867188,120.08159637451172,0.8651535511016841,175.20042419433594,121.25907135009766,0.9306560158729552,205.81491088867188,135.38883972167972,0.8993066549301141,174.02293395996094,136.56631469726562,0.911346673965454,196.3950653076172,137.74380493164062,0.906059861183166,183.4427795410156,136.56631469726562,0.8871058225631709,191.6851501464844,162.47088623046875,0.8440749049186701,185.79774475097656,162.47088623046875,0.8862102627754208,185.79774475097656,181.31057739257812,0.733852624893188,185.79774475097656,184.843017578125,0.8885373473167409,194.04010009765625,78.86978149414062,0.964230120182037,192.8626251220703,97.70946502685548,0.9398486018180842,190.50765991210938,135.38883972167972,0.930968403816223,184.62026977539062,190.7304229736328,0.679628729820251,185.79774475097656,193.0853729248047,0.858563601970672,188.1527099609375,189.5529327392578,0.6846006512641899,182.2653045654297,191.90789794921875,0.8810534477233881,184.62026977539062,181.31057739257812,0.6684550046920771,186.9752197265625,186.02049255371097,0.8383356332778931,3.066729068756103,0.0,0
7,1,194.8080139160156,91.37015533447266,0.955056190490722,197.1904296875,87.79653930664062,0.9569010138511652,192.42559814453125,88.98774719238281,0.9591812491416932,200.7640380859375,88.98774719238281,0.913803815841674,187.66078186035156,90.178955078125,0.9396981596946712,205.52886962890625,104.47342681884766,0.911924302577972,181.70474243164062,104.47342681884766,0.932034969329834,207.91128540039062,121.15030670166016,0.8815227150917051,175.74871826171875,122.34151458740234,0.91181868314743,205.52886962890625,137.82719421386722,0.928219497203826,173.36630249023438,137.82719421386722,0.9072612524032589,198.3816375732422,139.01840209960938,0.8895664811134331,184.087158203125,137.82719421386722,0.8688814043998709,193.61680603027344,165.2249298095703,0.8318105340003961,186.46957397460938,165.2249298095703,0.9078428745269772,186.46957397460938,183.093017578125,0.689102470874786,187.66078186035156,189.04904174804688,0.918623387813568,194.8080139160156,79.45809936523438,0.94015634059906,193.61680603027344,99.70860290527344,0.890870690345764,191.23439025878903,137.82719421386722,0.9483140707015992,184.087158203125,195.0050811767578,0.491436898708343,186.46957397460938,198.5786895751953,0.8574090003967281,190.0431976318359,192.62266540527344,0.5734204649925231,182.8959503173828,196.1962890625,0.9279637336730949,185.2783660888672,185.47543334960938,0.631185948848724,187.66078186035156,191.43145751953125,0.8722482323646541,3.050975084304808,0.0,0
8,1,195.1804656982422,92.1205825805664,0.92835783958435,197.5835876464844,89.71746063232422,0.94381433725357,191.57579040527344,89.71746063232422,0.95167064666748,199.9867248535156,90.91902160644531,0.9556137323379512,187.9710998535156,90.91902160644531,0.9320512413978572,205.99452209472656,105.33776092529295,0.8892241716384881,181.9632873535156,105.33776092529295,0.91009920835495,208.39764404296875,123.3611831665039,0.8698419332504269,175.9554901123047,123.3611831665039,0.8952301144599911,207.1960906982422,140.18304443359378,0.894862949848175,173.5523681640625,140.18304443359378,0.90095454454422,198.78515625,141.38461303710938,0.8872005343437191,184.36642456054688,140.18304443359378,0.8610668778419491,193.9789123535156,169.02052307128906,0.7962068915367121,185.56797790527344,169.02052307128906,0.90320485830307,186.76954650878903,184.6408233642578,0.7331864833831779,187.9710998535156,190.6486358642578,0.7934097647666931,193.9789123535156,80.10496520996094,0.944262146949768,193.9789123535156,100.5315170288086,0.92886084318161,191.57579040527344,140.18304443359378,0.9244373440742489,183.16485595703125,196.6564483642578,0.718541145324707,186.76954650878903,200.26112365722656,0.73058408498764,186.76954650878903,197.8580017089844,0.7347657084465021,183.16485595703125,196.6564483642578,0.685862362384796,185.56797790527344,185.84239196777344,0.602213382720947,187.9710998535156,191.85020446777344,0.6415638327598571,3.029222965240478,0.0,0
9,1,195.3621368408203,92.9610595703125,0.959108769893646,197.76242065429688,89.36064147949219,0.9664538502693172,191.76171875,89.36064147949219,0.9723213315010072,201.36285400390625,90.56077575683594,0.92061573266983,188.16128540039062,90.56077575683594,0.923875987529754,206.16342163085938,106.16262817382812,0.918640911579132,182.16058349609375,104.96247863769531,0.899979293346405,209.7638397216797,124.1647491455078,0.8944654464721681,176.1598663330078,122.96461486816406,0.9427642226219172,210.9639892578125,142.16688537597656,0.9023826122283932,174.95973205566406,140.96673583984375,0.8856900334358211,198.9625701904297,142.16688537597656,0.904120683670044,184.5608673095703,140.96673583984375,0.8702000975608821,196.56228637695312,169.7701416015625,0.852213323116302,185.7610015869141,168.57000732421875,0.8891614675521851,186.96115112304688,185.3719940185547,0.6269093751907341,188.16128540039062,191.37269592285156,0.781568348407745,194.16200256347656,79.75950622558594,0.969830393791198,195.3621368408203,100.1619110107422,0.94282466173172,191.76171875,140.96673583984375,0.9424908757209772,183.3607177734375,197.3734130859375,0.7202000021934499,186.96115112304688,200.9738311767578,0.728132128715515,186.96115112304688,197.3734130859375,0.741059899330139,183.3607177734375,198.57354736328125,0.6768578290939331,184.5608673095703,187.77227783203125,0.4835831224918361,188.16128540039062,192.5728454589844,0.6363860368728631,3.054393768310547,0.0,0
10,1,195.89637756347656,92.3697280883789,0.9523759484291072,198.2862091064453,88.78498077392578,0.9655970931053158,192.31163024902344,88.78498077392578,0.968214690685272,201.87094116210938,89.97989654541016,0.9091954231262199,188.7268829345703,89.97989654541016,0.923698723316192,207.84552001953125,105.51378631591795,0.9209370017051692,181.55740356445312,105.51378631591795,0.9032232761383052,210.2353515625,125.82733154296876,0.9130074381828299,175.58282470703125,123.4375,0.904632806777954,212.62518310546875,142.55613708496094,0.9312510490417479,175.58282470703125,141.36122131347656,0.891309559345245,200.676025390625,143.7510528564453,0.893289864063262,185.14215087890625,142.55613708496094,0.9000303149223321,199.4811248779297,170.03916931152344,0.8630167245864859,185.14215087890625,168.84425354003906,0.8972208499908441,195.89637756347656,184.37814331054688,0.791523039340972,187.5319671630859,190.3527069091797,0.870734572410583,194.7014617919922,79.22566223144531,0.9708623290061952,194.7014617919922,99.53921508789062,0.941499292850494,193.5065460205078,141.36122131347656,0.9868877530097958,199.4811248779297,191.5476226806641,0.6880587339401241,186.33705139160156,199.9120330810547,0.8452760577201841,200.676025390625,189.1578063964844,0.739762246608734,181.55740356445312,198.7171173095703,0.8454611301422109,194.7014617919922,184.37814331054688,0.7470738291740411,188.7268829345703,192.74253845214844,0.7590565085411071,3.1093111038208012,0.0,0
