image_id,category_id,keypointsNosex,keypointsNosey,keypointsNoseScore,keypointsLEyex,keypointsLEyey,keypointsLEyeScore,keypointsREyex,keypointsREyey,keypointsREyeScore,keypointsLEarx,keypointsLEary,keypointsLEarScore,keypointsREarx,keypointsREary,keypointsREarScore,keypointsLShoulderx,keypointsLShouldery,keypointsLShoulderScore,keypointsRShoulderx,keypointsRShouldery,keypointsRShoulderScore,keypointsLElbowx,keypointsLElbowy,keypointsLElbowScore,keypointsRElbowx,keypointsRElbowy,keypointsRElbowScore,keypointsLWristx,keypointsLWristy,keypointsLWristScore,keypointsRWristx,keypointsRWristy,keypointsRWristScore,keypointsLHipx,keypointsLHipy,keypointsLHipScore,keypointsRHipx,keypointsRHipy,keypointsRHipScore,keypointsLKneex,keypointsLKneey,keypointsLKneeScore,keypointsRKneex,keypointsRKneey,keypointsRKneeScore,keypointsLAnklex,keypointsLAnkley,keypointsLAnkleScore,keypointsRAnklex,keypointsRAnkley,keypointsRAnkleScore,keypointsheadx,keypointsheady,keypointsheadScore,keypointsneckx,keypointsnecky,keypointsneckScore,keypointsMHipx,keypointsMHipy,keypointsMHipScore,keypointsfoot1x,keypointsfoot1y,keypointsfoot1Score,keypointsfoot2x,keypointsfoot2y,keypointsfoot2Score,keypointsfoot3x,keypointsfoot3y,keypointsfoot3Score,keypointsfoot4x,keypointsfoot4y,keypointsfoot4Score,keypointsfoot5x,keypointsfoot5y,keypointsfoot5Score,keypointsfoot6x,keypointsfoot6y,keypointsfoot6Score,score,idx,class
1,1,165.3497772216797,119.10365295410156,0.9539648294448849,169.1731414794922,115.2802963256836,0.945063471794128,161.52642822265625,115.2802963256836,0.940121114253997,174.2709503173828,112.73139190673828,0.906061232089996,156.42861938476562,110.18248748779295,0.90926855802536,181.9176483154297,128.02481079101562,0.8970674872398371,147.50746154785156,125.47591400146484,0.8880308270454401,184.466552734375,152.23939514160156,0.945275843143463,142.40965270996094,149.69049072265625,0.905591905117034,183.19210815429688,173.9050750732422,0.939128935337066,142.40965270996094,170.08172607421875,0.9067671298980712,171.7220458984375,170.08172607421875,0.8552224636077881,153.8797149658203,167.53282165527344,0.8126290440559379,171.7220458984375,194.2963104248047,0.8185141086578359,153.8797149658203,193.02186584472656,0.7569203376770021,169.1731414794922,213.4130859375,0.92565107345581,155.15415954589844,210.8641815185547,0.8839597105979909,166.62423706054688,98.71241760253906,0.9123047590255732,165.3497772216797,120.37810516357422,0.982750475406646,162.80087280273438,167.53282165527344,0.9142012596130372,169.1731414794922,224.88316345214844,0.9168467521667479,150.0563507080078,222.33425903320312,0.8966200351715081,174.2709503173828,222.33425903320312,0.8539745807647701,147.50746154785156,219.7853546142578,0.912196993827819,169.1731414794922,214.6875457763672,0.8846768736839291,157.70306396484375,210.8641815185547,0.8692591786384579,3.108465194702148,0.0,0
2,1,164.11241149902344,118.60066223144531,0.9512565732002249,169.27664184570312,114.72747802734376,0.940805494785308,161.53028869628906,114.72747802734376,0.9499523639678952,174.4408721923828,112.1453628540039,0.9132002592086792,156.3660430908203,110.85430145263672,0.903057932853698,182.1872406005859,127.63807678222656,0.8969727158546441,147.32862854003906,125.0559539794922,0.8872599601745601,184.76934814453125,152.16819763183594,0.94571578502655,142.16439819335938,149.58607482910156,0.9052818417549132,183.4782867431641,174.1162109375,0.9485979080200192,142.16439819335938,170.24302673339844,0.9235487580299372,171.8587646484375,170.24302673339844,0.8590828776359549,153.783935546875,167.66090393066406,0.8153353333473201,171.8587646484375,194.7731475830078,0.7909298539161681,152.4928741455078,193.48208618164062,0.7730830907821651,169.27664184570312,212.8479766845703,0.91195398569107,155.0749969482422,211.55691528320312,0.8998784422874451,166.69451904296875,99.23477172851562,0.9346325397491452,165.40345764160156,119.89171600341795,0.9928789734840392,162.82135009765625,168.95196533203125,0.9225471019744872,169.27664184570312,224.4675140380859,0.9091014862060541,149.91075134277344,221.88539123535156,0.84629225730896,174.4408721923828,223.17645263671875,0.863757848739624,147.32862854003906,219.3032684326172,0.890318989753723,169.27664184570312,214.1390380859375,0.8439153432846059,157.6571044921875,211.55691528320312,0.8724726438522331,3.111294269561767,0.0,0
3,1,164.26992797851562,118.065185546875,0.951485097408294,169.35658264160156,115.52186584472656,0.9232136011123652,161.7266082763672,114.2501983642578,0.933652520179748,174.4432373046875,112.9785385131836,0.8920050859451291,156.63995361328125,110.43521118164062,0.8902260661125181,182.07321166992188,128.23849487304688,0.8806126713752741,147.73831176757812,125.69515991210938,0.8811007142066951,184.6165313720703,152.4000701904297,0.9493005275726312,142.65167236328125,149.85675048828125,0.9141499996185299,183.34486389160156,174.01834106445312,0.947226881980896,142.65167236328125,170.20333862304688,0.9159659147262572,171.89990234375,170.20333862304688,0.861482203006744,152.82496643066406,167.66001892089844,0.8176340460777279,171.89990234375,194.36492919921875,0.831173002719879,154.0966339111328,194.36492919921875,0.7804043292999261,170.62823486328125,213.4398651123047,0.926996886730194,155.3682861328125,212.168212890625,0.888496577739715,166.81326293945312,98.99024963378906,0.9253330230712892,165.54159545898438,120.60851287841795,0.978837728500366,162.99826049804688,167.66001892089844,0.9210801124572752,169.35658264160156,224.88482666015625,0.9203998446464532,150.28164672851562,223.6131591796875,0.922755658626556,174.4432373046875,223.6131591796875,0.8684762120246879,147.73831176757812,219.79818725585938,0.9399849772453299,169.35658264160156,214.71153259277344,0.8937240839004511,157.91162109375,212.168212890625,0.8563853502273561,3.105682849884033,0.0,0
4,1,165.3437042236328,118.83765411376952,0.9581118226051332,169.20236206054688,114.97899627685548,0.945958256721496,161.48504638671875,114.97899627685548,0.9461572766304012,174.3472442626953,112.40655517578124,0.910985589027404,156.3401641845703,111.12033081054688,0.909020721912384,182.06455993652344,127.84120178222656,0.8960734605789181,147.3366241455078,125.26876068115234,0.8816586136817931,184.6370086669922,150.9931640625,0.9392901062965392,142.19174194335938,148.4207305908203,0.8992803692817679,183.3507843017578,174.14512634277344,0.9375207424163812,142.19174194335938,170.28646850585938,0.911248207092285,171.77481079101562,169.00025939941406,0.8607070446014401,153.76771545410156,167.7140350341797,0.8227103352546691,171.77481079101562,193.43844604492188,0.8098319172859191,153.76771545410156,192.1522216796875,0.7979432940483091,169.20236206054688,212.73175048828125,0.92456966638565,155.05393981933594,211.44552612304688,0.8970777392387391,166.6299285888672,99.54434967041016,0.9141603708267212,165.3437042236328,120.1238784790039,0.9872213006019592,162.77125549316406,167.7140350341797,0.919002592563629,169.20236206054688,224.30772399902344,0.9234683513641352,151.19528198242188,221.73529052734375,0.852571845054626,174.3472442626953,223.02151489257812,0.8737445473670961,147.3366241455078,220.44906616210938,0.88645726442337,169.20236206054688,215.30418395996097,0.8762727379798879,157.62637329101562,211.44552612304688,0.8760545849800111,3.108424186706543,0.0,0
5,1,165.49366760253906,118.6809539794922,0.9522590637207032,169.32247924804688,114.85214233398438,0.94046938419342,161.66485595703125,114.85214233398438,0.936578333377838,174.42755126953125,112.29959869384766,0.9027619957923879,156.5597686767578,111.02333068847656,0.8955260515213009,182.08517456054688,127.6148452758789,0.8965820074081421,147.62588500976562,125.0623016357422,0.8867393136024471,184.63772583007812,151.86398315429688,0.937510192394256,142.5207977294922,149.3114471435547,0.9078974723815909,182.08517456054688,173.56057739257812,0.941805064678192,142.5207977294922,169.73178100585938,0.8963505625724789,171.87501525878906,169.73178100585938,0.854663848876953,154.00723266601562,168.45550537109375,0.814172208309173,171.87501525878906,193.9809112548828,0.8117157220840451,154.00723266601562,193.9809112548828,0.7943001985549921,170.5987548828125,213.12496948242188,0.915468275547027,155.28350830078125,211.84869384765625,0.911279141902923,166.76992797851562,99.53689575195312,0.917911410331726,165.49366760253906,119.95722198486328,0.9885048866271969,162.94113159179688,168.45550537109375,0.928701639175415,169.32247924804688,224.6114044189453,0.9373115897178652,150.1784210205078,223.33514404296875,0.942949056625366,174.42755126953125,223.33514404296875,0.8588097691535951,147.62588500976562,219.50631713867188,0.9424818158149709,169.32247924804688,214.4012451171875,0.8861122131347651,157.83604431152344,213.12496948242188,0.880046010017395,3.116621017456054,0.0,0
6,1,164.58592224121094,119.20865631103516,0.9558947682380672,169.67835998535156,115.38932037353516,0.9266439676284792,162.03968811035156,114.1162109375,0.929212749004364,176.04391479492188,112.84310150146484,0.8904095888137811,156.94725036621094,110.296875,0.905970394611358,183.68258666992188,128.12043762207028,0.8862172961235041,149.30857849121094,124.30110168457031,0.91056740283966,184.95570373535156,151.03643798828125,0.938060700893402,142.94302368164062,147.21710205078125,0.8989461064338681,183.68258666992188,173.9524383544922,0.9350325465202328,142.94302368164062,168.86000061035156,0.9118129014968872,172.22457885742188,168.86000061035156,0.8419604897499081,153.12791442871094,166.31378173828125,0.8283110857009881,170.95147705078125,193.0491180419922,0.812249600887298,153.12791442871094,191.7760009765625,0.8284085392951961,169.67835998535156,213.4188995361328,0.91862952709198,155.67413330078125,210.8726806640625,0.8895883560180661,167.13214111328125,98.83887481689452,0.9034635424613949,165.85902404785156,119.20865631103516,0.9672274589538572,163.31280517578125,167.58688354492188,0.9314271807670592,168.40525817871094,224.87689208984375,0.9424912929534912,150.58169555664062,222.33067321777344,0.9176941514015192,173.49769592285156,223.60379028320312,0.90184462070465,148.0354766845703,219.78445434570312,0.936160802841186,169.67835998535156,214.69200134277344,0.8893430829048151,158.22036743164062,210.8726806640625,0.8605534434318539,3.089452743530273,0.0,0
7,1,165.5598602294922,120.2025375366211,0.961410164833068,170.69325256347656,116.35250091552734,0.9275979995727529,162.99317932128906,115.06915283203124,0.937227308750152,177.10997009277344,112.5024642944336,0.870271861553192,157.8597869873047,111.2191162109375,0.8883002996444701,184.81004333496097,127.90260314941406,0.900370299816131,151.4430694580078,124.05256652832031,0.933521807193756,186.0933837890625,152.28616333007812,0.9238432645797732,145.02633666992188,147.1527862548828,0.94202834367752,183.52670288085938,174.10302734375,0.938631117343902,143.7429962158203,167.68630981445312,0.913207173347473,173.2599334716797,170.25299072265625,0.872186243534088,154.009765625,167.68630981445312,0.8788757920265191,171.97659301757812,194.6365509033203,0.8440369367599481,154.009765625,193.35321044921875,0.843422293663024,169.40989685058594,212.6033935546875,0.8864046335220329,155.29310607910156,211.32003784179688,0.930574059486389,168.12655639648438,99.66901397705078,0.940777480602264,168.12655639648438,120.2025375366211,0.976928770542144,164.27651977539062,167.68630981445312,0.9588280916213979,169.40989685058594,224.15350341796875,0.91347998380661,151.4430694580078,222.87014770507812,0.935581803321838,174.5432891845703,222.87014770507812,0.9181275367736812,147.59303283691406,220.303466796875,0.911560237407684,169.40989685058594,213.88673400878903,0.8633710145950311,157.8597869873047,212.6033935546875,0.826800823211669,3.0980710983276363,0.0,0
8,1,165.51693725585938,120.52191925048828,0.958639621734619,170.42262268066406,116.8426513671875,0.967161238193512,163.06410217285156,116.8426513671875,0.9550023078918449,179.00758361816406,113.16338348388672,0.8864386677742001,159.38482666015625,111.9369659423828,0.8968669176101681,186.3661193847656,130.33329772949222,0.8981991410255431,153.25271606445312,124.20117950439452,0.8896156549453731,188.81895446777344,153.6352996826172,0.8844327330589291,148.34703063964844,145.05035400390625,0.935518741607666,185.1396942138672,174.48448181152344,0.91466873884201,143.44134521484375,164.67311096191406,0.8907034993171691,174.10189819335938,170.80520629882812,0.8414070010185241,155.70556640625,167.12594604492188,0.8494551777839661,172.87547302246094,195.33364868164062,0.8517703413963311,154.47914123535156,191.6543884277344,0.8167262077331541,170.42262268066406,213.72998046875,0.944923996925354,155.70556640625,211.27713012695312,0.8941203951835631,169.1962127685547,100.899169921875,0.919129550457,169.1962127685547,120.52191925048828,0.9115795493125912,165.51693725585938,168.3523712158203,0.9260656237602232,169.1962127685547,224.7677764892578,0.902278125286102,150.7998809814453,222.31492614746097,0.952932655811309,174.10189819335938,223.54135131835938,0.885752022266387,148.34703063964844,219.86209106445312,0.872108697891235,170.42262268066406,214.95640563964844,0.8604801893234251,156.93199157714844,212.50355529785156,0.8201131224632261,3.0316588878631587,0.0,0
9,1,165.64500427246094,120.85750579833984,0.9435420036315909,170.53663635253906,118.41168212890624,0.956384301185607,163.1991729736328,117.18877410888672,0.9464841485023492,180.31993103027344,114.74295043945312,0.918083190917968,160.75335693359375,113.52003479003906,0.8416584730148311,187.6573944091797,130.64079284667972,0.9031568765640252,154.6387939453125,124.52623748779295,0.8989744186401359,190.10321044921875,156.32191467285156,0.87539142370224,149.74716186523438,144.09280395507812,0.921301543712616,186.4344787597656,175.88848876953125,0.9052773714065552,144.8555145263672,162.4364776611328,0.8966276049613949,174.2053680419922,170.99685668945312,0.824107468128204,155.86170959472656,166.10520935058594,0.8225715160369871,172.9824676513672,195.45506286621097,0.8411614298820491,152.19297790527344,190.5634307861328,0.8532021641731261,170.53663635253906,213.7987365722656,0.9512880444526672,153.4158935546875,211.3529052734375,0.9113578796386712,169.31373596191406,101.29093170166016,0.9471420049667352,170.53663635253906,120.85750579833984,0.9048435091972352,165.64500427246094,167.32810974121094,0.929653406143188,169.31373596191406,224.804931640625,0.8895655870437621,149.74716186523438,219.9132843017578,0.9260624051094052,174.2053680419922,223.58201599121097,0.8765931725502011,146.07843017578125,217.46746826171875,0.8779630064964291,170.53663635253906,215.02163696289062,0.8375114202499391,157.08462524414062,211.3529052734375,0.8151136636734001,3.03067398071289,0.0,0
10,1,166.03895568847656,121.35362243652344,0.9480105638504019,170.91209411621094,118.91705322265624,0.9499693512916559,163.60238647460938,117.6987762451172,0.9354667067527772,181.8766632080078,115.26220703125,0.894788563251495,159.94754028320312,112.8256378173828,0.7571293711662289,187.96807861328125,132.31819152832028,0.89049082994461,156.2926788330078,123.79019165039062,0.8787348270416261,189.18637084960938,157.90216064453125,0.8844563961029049,150.20126342773438,144.50103759765625,0.9407072663307192,185.5315093994141,177.39471435546875,0.9065609574317932,145.328125,160.33872985839844,0.910559356212616,174.56695556640625,170.0850067138672,0.8126274943351741,156.2926788330078,165.2118682861328,0.8120394945144651,173.34866333007812,194.45069885253903,0.8486068844795219,150.20126342773438,189.5775604248047,0.8156992197036741,169.69381713867188,212.7249755859375,0.917757868766784,148.98297119140625,210.2884063720703,0.940979063510894,169.69381713867188,100.64279174804688,0.924506306648254,170.91209411621094,121.35362243652344,0.918899536132812,166.03895568847656,167.6484375,0.9015198349952692,168.47552490234375,224.90782165527344,0.9346160888671872,141.6732635498047,220.03468322753903,0.933652698993682,174.56695556640625,223.6895294189453,0.871892392635345,139.2366943359375,216.37982177734375,0.8849392533302299,169.69381713867188,213.94325256347656,0.825763583183288,152.63783264160156,211.50668334960938,0.8682431578636159,2.9350180625915523,0.0,0
